"CategoryID","CategoryName"
10477,"NME - The Big Gig"
10479,"Alter Bridge"
10480,"Roisin Murphy"
10481,"Clubland Live"
10500,"Matt Costa"
10501,"Trail of Tears"
10506,"Pat Metheny"
10531,"Tower of Power"
10535,"Amy Grant"
10543,"De Vrienden van Amstel LIVE!"
10555,"Oleta Adams"
10573,"Golden Earring"
10588,"Victor Wooten"
10589,"Wynton Marsalis"
10615,"Duffy"
10621,"The Pink Floyd Experience"
10622,"Tim Finn"
10624,"Taj Mahal Trio"
10637,"The Dome"
10643,"The Whispers"
10648,"Nana Mouskouri"
10649,"Mavis Staples"
10653,"Das Frühlingsfest der Volksmusik"
10659,"Kane"
10660,"Adrian Belew"
10666,"Seasick Steve"
10670,"Garth Brooks"
10671,"Billy Joel"
10672,"Amy MacDonald"
10674,"Biffy Clyro"
10675,"Les Enfoirés"
10678,"Die große Schlager-Starparade"
10684,"The Eagles"
10685,"Good Charlotte"
10693,"Adam Green"
10698,"The Wombats"
10699,"David Essex"
10701,"Joe Jackson"
10702,"Level 42"
10704,"Jean Michel Jarre"
10707,"Juanes"
10708,"Portishead"
10710,"Konstantin Wecker"
10715,"Vihdoinkin!"
10716,"New York Voices"
10717,"Funk Brothers"
10718,"Danko Jones"
10719,"Eva Dahlgren"
10722,"Eurovision Finnish Trials"
10723,"Kirka Babitzin Tribute"
10725,"Goldfrapp"
10726,"Serj Tankian"
10728,"Dropkick Murphys"
10729,"One Republic"
10736,"Jools Holland"
10737,"Fish"
10738,"Patrick Watson"
10740,"The Cult"
10741,"Joe Bonamassa"
10742,"Bens Brother"
10744,"The Mars Volta"
10746,"Youssou N'Dour"
10747,"Nick Cave & The Bad Seeds"
10748,"Kerrang! Tour"
10757,"Guillemots"
10758,"Lenny Kravitz"
10762,"Down"
10763,"Simple Plan"
10764,"Vampire Weekend"
10769,"Erste Allgemeine Verunsicherung"
10770,"Deichkind"
10771,"Wise Guys"
10772,"Vicki Vomit"
10775,"Truck Stop"
10778,"Tom Astor"
10782,"New Model Army"
10784,"Northern Lite"
10785,"Nazareth"
10792,"Napalm Death"
10793,"Morcheeba"
10795,"Muff Potter"
10796,"Münchener Freiheit"
10797,"Millencolin"
10799,"Militär und Blasmusikparade"
10801,"Marquess"
10802,"Marshall und Alexander"
10804,"Matthias Reim"
10809,"Karpatenhund"
10811,"Kettcar"
10813,"Adele"
10815,"Judas Priest"
10817,"In Extremo"
10818,"Incognito"
10819,"Höhner"
10820,"Heinz Rudolf Kunze"
10822,"H-Blockx"
10824,"Fools Garden"
10825,"Frank Schöbel"
10826,"Exodus"
10827,"Public Enemy"
10828,"Extrabreit"
10829,"N.E.R.D"
10832,"City"
10833,"Marianne und Michael"
10836,"Bone Thugs N Harmony"
10837,"Asha Bhosle"
10839,"Brooks and Dunn"
10843,"Ace Frehley"
10844,"Billy Ray Cyrus"
10846,"Angels and Airwaves"
10847,"Fat Freddy’s Drop"
10848,"Blue Rodeo"
10849,"Bobby McFerrin"
10854,"Yazoo"
10856,"Bad Religion"
10860,"Avenged Sevenfold"
10861,"Built To Spill"
10868,"Ana Moura"
10870,"Badfish"
10872,"Bob Mould Band"
10874,"All That Remains"
10876,"Ali Campbell Astro and Mickey of UB40"
10892,"Machel Montano"
10910,"Ben Folds"
10913,"Bernadette Peters"
10918,"Al Stewart"
10922,"Angelique Kidjo"
10923,"Arlo Guthrie"
10926,"Beach House"
10928,"A Flock of Seagulls"
10929,"Acid Mothers Temple"
10931,"Alan Parsons"
10936,"Candy Dulfer"
10938,"Cassandra Wilson"
10940,"Allan Holdsworth"
10945,"Burt Bacharach"
10946,"B96 Summer Bash"
10969,"Devotchka"
10970,"George Benson"
10982,"Peter Doherty"
10984,"Uh Huh Her"
10985,"Siouxsie"
10988,"Elbow"
10989,"Defenders of the Faith"
11005,"Jill Scott"
11014,"Ministry"
11016,"Pendulum"
11017,"Doe Maar"
11021,"Flogging Molly"
11029,"Tom Petty and the Heartbreakers"
11030,"Silverstein"
11031,"Reverend and the Makers"
11033,"Sia"
11037,"Citizen Cope"
11058,"Explosions in the Sky"
11075,"Teenage Cancer Trust"
11087,"The Starting Line"
11088,"Tim McGraw"
11090,"Yesterday - A Tribute To the Beatles"
11094,"Devildriver"
11107,"The Saw Doctors"
11109,"Yellow Jackets"
11113,"Taylor Swift"
11117,"Les Claypool"
11129,"One Night of Queen"
11137,"Daniel O Donnell"
11140,"Steve Earle"
11143,"Loretta Lynn"
11156,"Supergrass"
11158,"Kronos Quartet"
11166,"Ratt"
11171,"Cowboy Junkies"
11187,"Fu Manchu"
11205,"Justice"
11207,"Symphony X"
11209,"Julio Iglesias"
11213,"Dr John"
11216,"Coco Montoya"
11224,"Dianne Reeves"
11225,"Cobra Starship"
11226,"Johnny Winter"
11227,"Lifehouse"
11229,"Larry Carlton"
11235,"Doro"
11236,"Drive By Truckers"
11239,"Craig David"
11241,"The Courteeners"
11242,"Mick Hucknall"
11245,"Texas Lightning"
11249,"Toppers In Concert"
11252,"Gilbert O'Sullivan"
11254,"Trijntje Oosterhuis"
11255,"Helmut Lotti"
11264,"Mandy Patinkin"
11268,"Richard Marx"
11276,"Soulwax"
11278,"BAP"
11279,"Debbie Reynolds"
11280,"Spyro Gyra"
11282,"New York Dolls"
11284,"Leo Kottke"
11289,"British Sea Power"
11292,"The Irish Tenors"
11294,"Joan Baez"
11296,"Chrisette Michele"
11300,"John Pizzarelli"
11301,"Ladysmith Black Mambazo"
11307,"Kansas"
11308,"Lynda Carter"
11316,"Chuck Mangione"
11319,"Jesse Cook"
11323,"Gregg Allman"
11336,"Lez Zeppelin"
11337,"Keiko Matsui"
11339,"The Osmonds"
11341,"Josh Rouse"
11342,"Simple Minds"
11345,"Presidents of the United States of America"
11348,"Tech N9ne"
11360,"Ottmar Liebert"
11367,"Voodoo Music Experience"
11374,"Neil Sedaka"
11380,"Hubert von Goisern"
11381,"Nena"
11382,"Marianne Faithfull"
11383,"Schiller"
11388,"Leonard Cohen"
11396,"Yellowcard"
11397,"Nada Surf"
11400,"Ladytron"
11401,"Jackson Browne"
11402,"Anti-Flag"
11406,"Sara Bareilles"
11408,"Eddie Vedder"
11410,"The Swell Season"
11412,"Farin Urlaub"
11415,"Thrice"
11418,"Loreena McKennitt"
11421,"Hanson"
11422,"Demon Hunter"
11426,"Scouting for Girls"
11429,"Melissa Etheridge"
11436,"Yaz"
11442,"Dimmu Borgir"
11443,"Ghostland Observatory"
11448,"Minus the Bear"
11449,"Shelby Lynne"
11450,"Stiff Little Fingers"
11451,"Saves The Day"
11455,"Cher"
11463,"Bad Manners"
11472,"The Avett Brothers"
11474,"The Kills"
11476,"The Breeders"
11478,"Seether"
11479,"Gnarls Barkley"
11483,"Flo Rida"
11484,"Judy Collins"
11487,"Reckless Kelly"
11488,"Return to Forever"
11493,"The Used"
11495,"The Machine"
11496,"Sweet and Tender Hooligans"
