categoryID,categoryName,spotifyID,spotifyName,spotifyPopularity
4915,kula shaker,6bGcpvHbRHg8s0wiNyIZK1,Kula Shaker,54
4916,the cribs,51Eq6WMVEOjjx9KQMAnneG,The Cribs,60
4917,motion city soundtrack,19zqV9DV3txjMUjHvltl2D,Motion City Soundtrack,65
4918,the maccabees,0vW8z9pZMGCcRtGPGtyqiB,The Maccabees,66
4919,just jack,6E3y6qSvu3m0diUN95sLRz,Just Jack,43
4921,sophie ellis bextor,2cBh5lVMg222FFuRU7EfDE,Sophie Ellis-Bextor,60
4929,crowded house,7ohlPA8dRBtCf92zaZCaaB,Crowded House,66
4930,the verve,2cGwlqi3k18jFpUyTrsR84,The Verve,72
4931,enter shikari,31jvzuB4ikftPQZJwrYfCF,Enter Shikari,68
4933,spice girls,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,73
4934,jesus and mary chain,4rjlerN21ygkIhmUv55irs,The Jesus And Mary Chain,60
4937,bjork,7w29UYBi0qsHi5RTcv3lmA,Björk,70
4943,joss stone,7bvcQXJHkFiN1ppIN3q4fi,Joss Stone,69
4945,gentleman,4kumtYvsqiZlqWxeLXNGmg,Gentleman,27
4946,machine head,0lVlNsuGaOr9vMHCZIAKMt,Machine Head,66
5145,mary j. blige,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,77
5146,randy newman,3HQyFCFFfJO3KKBlUfZsyW,Randy Newman,66
5149,chris brown,396wvM69VtHgLZSfFB0pyH,Chris Brown,59
5150,manu chao,6wH6iStAh4KIaWfuhf0NYM,Manu Chao,75
5152,feist,2e8mrAXzCCIqDG1QCb7jeE,Feist,48
5161,gordon lightfoot,23rleGXVOVVgTk3xgtmfE4,Gordon Lightfoot,60
5173,bill gaither,2SykxOLRlUoYRuoTIEzSYR,Bill Gaither,3
5177,john mayer,25TPWwN4EYO51jArkq0X1o,John Mayer,32
5181,boyz ii men,6O74knDqdv3XaWtkII7Xjp,Boyz II Men,74
5191,bonnie raitt,4KDyYWR7IpxZ7xrdYbKrqY,Bonnie Raitt,62
5197,marco antonio solis,3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,78
5201,michael franti and spearhead,1mHuZMOP8FG5ip4yAb1vrB,Michael Franti & Spearhead,68
5208,cannibal corpse,0yLwGBQiBqhXOvmTfH2A7n,Cannibal Corpse,57
5218,311,41Q0HrwWBtuUkJc7C1Rp6K,311,71
5219,chris botti,3eFo5fMv53RYZBYlvT5Z6a,Chris Botti,61
5222,eric burdon and the animals,70tMW5bZT3TJUa1CWtfVkq,Eric Burdon & the Animals,41
5226,creedence clearwater revisited,5nqr3PugZYyBcQrnKtFkAu,Creedence Clearwater Revisited,26
5227,lynyrd skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,77
5232,barry manilow,3alW3LYQS8K29z8C8NSLIX,Barry Manilow,64
5233,rascal flatts,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,78
5237,keb mo,6iDaoPZVgxrTkndDCisX8F,Keb' Mo',61
5243,toby keith,2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,75
5248,eddie money,4Tw2N3wdvJPGEU7JqMxFfE,Eddie Money,61
5254,terri clark,0HLOP0AdsaWe5Pt5TNueGC,Terri Clark,50
5255,hot tuna,5tOrTQaBRD5yPHqbEwsRn7,Hot Tuna,42
5267,reverend horton heat,4byZW0sEv5RUoyQBfv7CPw,The Reverend Horton Heat,52
